"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21500","test_unable_to_add_the_same_te_user_in_app_configuration","test_cases.splunk.te_app.configuration","Wed Jun 18 00:17:16 EEST 2025","passed","Wed Jun 18 00:17:37 EEST 2025","TestUnableToAddTheSameTEUserInAppConfiguration","test_unable_to_add_the_same_te_user_in_app_configuration","",""
"","16283","test_add_te_user_in_app_configuration","test_cases.splunk.te_app.configuration","Wed Jun 18 00:16:32 EEST 2025","passed","Wed Jun 18 00:16:48 EEST 2025","TestAddTEUserInAppConfiguration","test_add_te_user_in_app_configuration","",""
"","16269","test_remove_te_user_in_app_configuration","test_cases.splunk.te_app.configuration","Wed Jun 18 00:16:50 EEST 2025","passed","Wed Jun 18 00:17:06 EEST 2025","TestRemoveTEUserInAppConfiguration","test_remove_te_user_in_app_configuration","",""
"","6794","test_unable_to_add_te_user_when_authorization_interrupted","test_cases.splunk.te_app.configuration","Wed Jun 18 00:17:08 EEST 2025","passed","Wed Jun 18 00:17:14 EEST 2025","TestUnableToAddTEUserWhenAuthorizationInterrupted","test_unable_to_add_te_user_when_authorization_interrupted","",""
